frequency_Hz,intensity_normalized
99999204225284.55,0.00990496638442962
99999207414762.36,0.0099840476321147
99999210604240.19,0.010064076518317202
99999213793718.0,0.010145068191165035
99999216983195.81,0.010227038102810403
99999220172673.64,0.010310002015543156
99999223362151.45,0.01039397600802145
99999226551629.27,0.010478976485391797
99999229741107.1,0.010565020185990764
99999232930584.9,0.01065212418817996
99999236120062.72,0.010740305921228264
99999239309540.53,0.010829583172222714
99999242499018.36,0.010919974095771173
99999245688496.17,0.011011497221318165
99999248877973.98,0.01110417146515697
99999252067451.81,0.011198016138753345
99999255256929.62,0.011293050957248215
99999258446407.44,0.011389296052413005
99999261635885.27,0.011486771981793693
99999264825363.08,0.01158549973805764
99999268014840.89,0.011685500762984694
99999271204318.72,0.011786796957519562
99999274393796.53,0.011889410692053928
99999277583274.34,0.011993364821556383
99999280772752.17,0.012098682696631686
99999283962229.98,0.012205388174840237
99999287151707.8,0.012313505637081884
99999290341185.62,0.012423059999772583
99999293530663.44,0.01253407672731568
99999296720141.25,0.012646581849868232
99999299909619.06,0.012760601976196747
99999303099096.89,0.012876164310240523
99999306288574.7,0.012993296664781133
99999309478052.52,0.01311202748127903
99999312667530.34,0.013232385845166646
99999315857008.16,0.013354401501535279
99999319046485.97,0.013478104876717696
99999322235963.8,0.013603527095175573
99999325425441.61,0.013730699996833032
99999328614919.42,0.01385965616059369
99999331804397.25,0.013990428923006584
99999334993875.06,0.01412305239743758
99999338183352.88,0.014257561499732962
99999341372830.7,0.014393991968871755
99999344562308.52,0.014532380388191192
99999347751786.33,0.01467276421343574
99999350941264.16,0.014815181795631134
99999354130741.97,0.014959672404608389
99999357320219.78,0.015106276259708163
99999360509697.61,0.015255034555142839
99999363699175.42,0.015405989486096424
99999366888653.23,0.015559184282389242
99999370078131.05,0.01571466323586309
99999373267608.88,0.01587247173320844
99999376457086.69,0.01603265628526163
99999379646564.5,0.016195264565162088
99999382836042.33,0.016360345440767768
99999386025520.14,0.016527949008064906
99999389214997.95,0.016698126633165583
99999392404475.78,0.0168709309883902
99999395593953.6,0.01704641608948178
99999398783431.4,0.017224637341909103
99999401972909.23,0.017405651581082364
99999405162387.05,0.01758951711385814
99999408351864.86,0.01777629376967849
99999411541342.69,0.01796604294545235
99999414730820.5,0.018158827651907333
99999417920298.31,0.01835471257017015
99999421109776.14,0.018553764101923578
99999424299253.95,0.018756050421242256
99999427488731.77,0.018961641537307
99999430678209.58,0.019170609349504687
99999433867687.4,0.019383027710639936
99999437057165.22,0.01959897248625604
99999440246643.03,0.01981852162678243
99999443436120.86,0.02004175523290429
99999446625598.67,0.02026875562323084
99999449815076.48,0.02049960741461539
99999453004554.31,0.020734397595568624
99999456194032.12,0.02097321560230773
99999459383509.94,0.021216153408349023
99999462572987.77,0.021463305607085446
99999465762465.58,0.021714769497391193
99999468951943.39,0.02197064518375624
99999472141421.22,0.02223103566932458
99999475330899.03,0.022496046952414236
99999478520376.84,0.022765788138661855
99999481709854.67,0.023040371546024813
99999484899332.48,0.023319912813794415
99999488088810.3,0.02360453102845248
99999491278288.11,0.02389434884095093
99999494467765.94,0.02418949259721656
99999497657243.75,0.024490092465369488
99999500846721.56,0.02479628258299275
99999504036199.39,0.025108201197345262
99999507225677.2,0.025425990811192973
99999510415155.02,0.025749798348920015
99999513604632.84,0.026079775315736013
99999516794110.66,0.02641607796339412
99999519983588.47,0.026758867477975196
99999523173066.3,0.027108310161016225
99999526362544.11,0.02746457761819846
99999529552021.92,0.027827846972120422
99999532741499.75,0.028198301068782013
99999535930977.56,0.028576128692864067
99999539120455.38,0.028961524809382747
99999542309933.2,0.02935469079956982
99999545499411.02,0.029755834707007087
99999548688888.83,0.03016517151274391
99999551878366.66,0.03058292340533823
99999555067844.47,0.03100932006287849
99999558257322.28,0.03144459896697052
99999561446800.1,0.0318890057103728
99999564636277.92,0.03234279433186043
99999567825755.73,0.032806227653478924
99999571015233.55,0.03327957765650596
99999574204711.38,0.033763125854942976
99999577394189.19,0.0342571636863845
99999580583667.0,0.03476199294366866
99999583773144.83,0.035277926205744645
99999586962622.64,0.035805287289000856
99999590152100.45,0.036344411744172855
99999593341578.28,0.036895647354618345
99999596531056.1,0.03745935465874163
99999599720533.9,0.038035907523582574
99999602910011.73,0.038625693722495996
99999606099489.55,0.039229115541405665
99999609288967.36,0.03984659044275009
99999612478445.19,0.04047855173695208
99999615667923.0,0.041125449287786046
99999618857400.81,0.04178775028309733
99999622046878.62,0.04246594001399784
99999625236356.45,0.04316052271455135
99999628425834.27,0.04387202242540727
99999631615312.08,0.04460098393830822
99999634804789.9,0.04534797375993333
99999637994267.72,0.0461135811267565
99999641183745.53,0.04689841910895742
99999644373223.36,0.04770312574095618
