distance_um,electric_field_V_m
5.0,345647519999.99994
5.050505050505051,338769134352.0
5.101010101010102,332094044066.2679
5.151515151515152,325614315986.1591
5.202020202020202,319322400180.97833
5.252525252525253,313211107943.7869
5.303030303030304,307273591248.9795
5.353535353535354,301503323559.9857
5.404040404040404,295894081886.6276
5.454545454545455,290439929999.99994
5.505050505050505,285135202720.30963
5.555555555555556,279974491199.99994
5.606060606060606,274952629130.7523
5.6565656565656575,270064679808.67337
5.707070707070708,265305923997.18063
5.757575757575758,260671848531.85593
5.808080808080809,256158135615.87897
5.858585858585859,251760652758.6206
5.909090909090909,247475443313.60944
5.959595959595959,243298717575.40933
6.01010101010101,239226844397.99445
6.0606060606060606,235256343299.99997
6.111111111111112,231383877024.79337
6.161616161616163,227606244525.66507
6.212121212121213,223920374348.60196
6.262626262626263,220323318387.09674
6.313131313131313,216812245985.28
6.363636363636364,213384438367.3469
6.414141414141414,210037283372.8067
6.464646464646465,206768270478.51556
6.515151515151516,203574986089.77823
6.565656565656566,200455109084.02362
6.616161616161617,197406406591.69046
6.666666666666667,194426730000.0
6.717171717171718,191514011166.26147
6.767676767676768,188666258828.2468
6.818181818181819,185881555199.99994
6.868686868686869,183158052742.21448
6.91919191919192,180493971097.02164
6.96969696969697,177887594177.69376
7.02020202020202,175337267404.37866
7.070707070707071,172841395077.551
7.121212121212121,170398437881.39426
7.171717171717173,168006910509.81943
7.222222222222223,165665379408.28397
7.272727272727273,163372460624.99997
7.3232323232323235,161126817765.5172
7.373737373737374,158927160045.0366
7.424242424242425,156772240433.15283
7.474747474747475,154660853886.0482
7.525252525252526,152591835661.45663
7.575757575757576,150564059711.99997
7.626262626262626,148576437152.75644
7.676767676767677,146627914799.16898
7.7272727272727275,144717473771.62628
7.777777777777778,142844128163.26532
7.828282828282828,141006923767.74197
7.87878787878788,139204936863.90527
7.92929292929293,137437273054.48494
7.97979797979798,135703066156.06471
8.030303030303031,134001477137.77145
8.080808080808081,132331693106.25
8.131313131313133,130692926334.63211
8.181818181818183,129084413333.3333
8.232323232323234,127505413960.63078
8.282828282828284,125955210571.08861
8.333333333333334,124433107199.99997
8.383838383838384,122938428782.11642
8.434343434343434,121470520403.02628
8.484848484848484,120028746581.63264
8.535353535353535,118612490582.26254
8.585858585858587,117221153755.01729
8.636363636363637,115854154903.04707
8.686868686868687,114510929675.50024
8.737373737373737,113190929984.9644
8.787878787878787,111893623448.27586
8.83838383838384,110618492849.63261
8.88888888888889,109365035624.99997
8.93939393939394,108132763366.84857
8.989898989898991,106921201348.31459
9.040404040404042,105729888065.91554
9.090909090909092,104558374799.99998
9.141414141414142,103406225192.14919
9.191919191919192,102273014838.78758
9.242424242424242,101158330900.29562
9.292929292929294,100061771724.95273
9.343434343434344,98982946487.07085
9.393939393939394,97921474838.70967
9.444444444444445,96876986574.39445
9.494949494949497,95849121308.28426
9.545454545454547,94837528163.26527
9.595959595959597,93841865471.46811
9.646464646464647,92861800485.73227
9.696969696969697,91897009101.56248
9.747474747474747,90947175589.14333
9.797979797979798,90011992334.9984
9.848484848484848,89091159592.89941
9.898989898989898,88184385243.64848
9.949494949494948,87291384563.37448
10.0,86411879999.99998
