radius_um,electric_field_V_m
0.09999999999999999,14117912.807770502
0.1494949494949495,14117912.807770502
0.198989898989899,14117912.807770502
0.2484848484848485,14117912.807770502
0.29797979797979796,14117912.807770502
0.3474747474747475,14117912.807770502
0.39696969696969703,14117912.807770502
0.4464646464646465,14117912.807770502
0.49595959595959604,14117912.807770502
0.5454545454545455,14117912.807770502
0.594949494949495,14117912.807770502
0.6444444444444445,14117912.807770502
0.6939393939393941,14117912.807770502
0.7434343434343436,14117912.807770502
0.792929292929293,14117912.807770502
0.8424242424242425,14117912.807770502
0.891919191919192,14117912.807770502
0.9414141414141416,14117912.807770502
0.9909090909090911,14117912.807770502
1.0404040404040404,14117912.807770502
1.08989898989899,14117912.807770502
1.1393939393939396,14117912.807770502
1.188888888888889,14117912.807770502
1.2383838383838384,14117912.807770502
1.287878787878788,14117912.807770502
1.3373737373737375,14117912.807770502
1.3868686868686873,14117912.807770502
1.4363636363636365,14117912.807770502
1.485858585858586,14117912.807770502
1.5353535353535357,14117912.807770502
1.584848484848485,14117912.807770502
1.6343434343434347,14117912.807770502
1.6838383838383841,14117912.807770502
1.7333333333333334,14117912.807770502
1.782828282828283,14117912.807770502
1.8323232323232326,14117912.807770502
1.8818181818181823,14117912.807770502
1.9313131313131315,14117912.807770502
1.980808080808081,14117912.807770502
2.0303030303030303,14117912.807770502
2.0797979797979798,14117912.807770502
2.1292929292929297,14117912.807770502
2.178787878787879,14117912.807770502
2.228282828282828,14117912.807770502
2.277777777777778,14117912.807770502
2.3272727272727276,14117912.807770502
2.376767676767677,14117912.807770502
2.4262626262626266,14117912.807770502
2.475757575757576,14117912.807770502
2.5252525252525255,14117912.807770502
2.574747474747475,14117912.807770502
2.6242424242424245,14117912.807770502
2.6737373737373744,14117912.807770502
2.7232323232323234,14117912.807770502
2.772727272727273,14117912.807770502
2.822222222222223,14117912.807770502
2.871717171717172,14117912.807770502
2.9212121212121214,14117912.807770502
2.9707070707070713,14117912.807770502
3.0202020202020203,14117912.807770502
3.06969696969697,14117912.807770502
3.1191919191919197,14117912.807770502
3.168686868686869,14117912.807770502
3.2181818181818183,14117912.807770502
3.267676767676768,14117912.807770502
3.3171717171717177,14117912.807770502
3.3666666666666667,14117912.807770502
3.4161616161616166,14117912.807770502
3.465656565656566,14117912.807770502
3.5151515151515156,14117912.807770502
3.564646464646465,14117912.807770502
3.6141414141414145,14117912.807770502
3.6636363636363645,14117912.807770502
3.7131313131313135,14117912.807770502
3.762626262626263,14117912.807770502
3.812121212121213,14117912.807770502
3.8616161616161624,14117912.807770502
3.911111111111112,14117912.807770502
3.960606060606061,14117912.807770502
4.01010101010101,14117912.807770502
4.05959595959596,14117912.807770502
4.109090909090909,14117912.807770502
4.158585858585859,14117912.807770502
4.208080808080809,14117912.807770502
4.257575757575759,14117912.807770502
4.307070707070707,14117912.807770502
4.356565656565657,14117912.807770502
4.406060606060606,14117912.807770502
4.455555555555557,14117912.807770502
4.505050505050506,14117912.807770502
4.554545454545456,14117912.807770502
4.604040404040404,14117912.807770502
4.653535353535354,14117912.807770502
4.703030303030303,14117912.807770502
4.7525252525252535,14117912.807770502
4.802020202020203,14117912.807770502
4.8515151515151524,14117912.807770502
4.901010101010102,14117912.807770502
4.9505050505050505,14117912.807770502
5.0,14117912.807770502
